"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid wallet","0","0","1","0","0"
"Token balance","Total value service","As user for total diff values I want to see color indication for higher past value in quote and percentage value","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with current price for AVAX is null","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send multiple wallet addresses with incorrect syntax, info should be raise","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see proper headers for symbol, total value and amount","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid query param syntax","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and DELETE resource /cryptocurrency/{id}","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for 22 wallet addresses","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and PUT json data to the resource /cryptocurrency/{id}","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for empty wallet","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see color green indication for higher 1h, 24h, 7d, 30d, 60d, 90d past values","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with one wallet address query param is invalid","0","0","2","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid too long wallet address","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for single wallet","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I can use navbar in wallets page","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property symbol too long","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property symbol too short","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see symbol name value for token balance","0","0","1","0","0"
"Home page","Routing app","As normal user, when I open base app URL, then app redirect to URL path '/wallet'","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_not_available}","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for AVAX wallet address that has been provided","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user when open wallet input page, I can use price banner","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see total amount value for token balance","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_not_available}","0","0","1","0","0"
"Token balance","Total value service","As user when no empty I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for empty wallet","0","0","1","0","0"
"Token balance","Token balance UI","As user when I navigate back and forward, data should be maintained","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance empty, then I want to see flat trend line for 7d ","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_not_available} without property name","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send blank wallet address, info should be raise","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property name too short","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when DELETE resource /cryptocurrency/{id_not_available}","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I want to see description which tokens are handle","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property name too long","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and GET and query resource by name /cryptocurrency?name={token_name}","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with current price for ETH is null","0","0","1","0","0"
"Token balance","Total value service","As user when empty wallet I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when PUT json data to the resource /cryptocurrency/{id}","0","0","2","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency?name={token_name_available}","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet with coins at the top of balance page","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property symbol not allowed char","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I can see placeholder in input field","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for single wallet","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet address with illegal char, info should be raise","0","0","1","0","0"
"Token balance","Token balance UI","As user I can scroll down page when I provide multiple wallets","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send invalid wallet addresses, then app should maintain the current address path","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid too short wallet address","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency without property symbol","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for single wallet","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see color red indication for lower 1h, 24h, 7d, 30d, 60d, 90d past values","0","0","1","0","0"
"Token balance","Token balance UI","As user when I refresh the balance page, data should be maintained","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid wallet","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty I want to see trend line for 7d ","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency too long platform property","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data that already exist to the resource /cryptocurrency","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid too short wallet address","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for empty wallet","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet without and with coins at the top of balance page","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for MATIC wallet address that has been provided","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency without property name","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with current price for MATIC is null","0","0","1","0","0"
"Token balance","Token tree map chart","As user when check balance, the charts cell's size are properly set depends to percentage of total wallet","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address and press send button I want to open balance page","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet addresses and ETH, MATIC price is not available, then system show error toast","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see addresses that I provided on the /wallet page","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with empty prices for AVAX","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property name not match with symbol","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid query param syntax","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid too short wallet address","0","0","1","0","0"
"Token balance","Total value service","As user when multiple wallets I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send too short wallet address, info should be raise","0","0","1","0","0"
"Token balance","Token balance UI","As user I can switch view of wallet balance details","0","0","1","0","0"
"Token balance","Total value service","As user for total diff values I want to see color indication for lower past value in quote and percentage value","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send invalid wallet address, info should be raise","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency/{id_available_1}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user GET and query resource by name /cryptocurrency?name={token_name_not_available}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} without property symbol","0","0","1","0","0"
